label	entity_id	search_id
downregulation of Bruton's tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903996	[4, 8, 7, 7, 3, 0]
down-regulation of eating behaviour	http://purl.obolibrary.org/obo/GO_1903999	[4, 8, 9, 7, 4, 0, 0]
regulation of eating behavior	http://purl.obolibrary.org/obo/GO_1903998	[4, 8, 0, 4, 3, 2]
upregulation of ATP:protein-L-tyrosine O-phosphotransferase (non-specific) activity	http://purl.obolibrary.org/obo/GO_1903997	[4, 8, 3, 0, 4, 0, 0]
regulation of p60c-src protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903995	[4, 8, 3, 0, 4, 0, 1]
IgA receptor activity	http://purl.obolibrary.org/obo/GO_0019766	[6, 0, 1, 8, 0]
glucosinolate catabolic process	http://purl.obolibrary.org/obo/GO_0019762	[0, 3, 5, 7, 3, 2, 1, 0]
glucosinolate anabolism	http://purl.obolibrary.org/obo/GO_0019761	[0, 3, 5, 7, 0, 6, 3, 0]
glucosinolate metabolism	http://purl.obolibrary.org/obo/GO_0019760	[0, 3, 5, 7, 3, 2, 1, 1]
low affinity IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019769	[6, 0, 1, 7, 0]
IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019767	[6, 0, 1, 7, 1]
high affinity Fc receptor activity	http://purl.obolibrary.org/obo/GO_0019768	[6, 0, 1, 7, 2]
FC receptor activity	http://purl.obolibrary.org/obo/GO_0019763	[6, 0, 1, 2, 0]
pyocyanine biosynthetic process	http://purl.obolibrary.org/obo/GO_0106220	[0, 3, 5, 7, 7, 0, 4, 0]
peptidyl-lysine glutarylation	http://purl.obolibrary.org/obo/GO_0106227	[0, 0, 1, 8, 3]
peptidyl-lysine 2-hydroxyisobutyrylation	http://purl.obolibrary.org/obo/GO_0106225	[0, 0, 1, 8, 1]
histone glutaryltransferase activity	http://purl.obolibrary.org/obo/GO_0106229	[2, 1, 1, 0]
alkylhydroperoxide reductase activity	http://purl.obolibrary.org/obo/GO_0102039	[6, 6, 9, 0]
PKC signaling cascade	http://purl.obolibrary.org/obo/GO_0070528	[6, 4, 6, 4, 0]
thrombocyte aggregation	http://purl.obolibrary.org/obo/GO_0070527	[5, 4, 1, 7, 8, 6, 0]
