label	entity_id	search_id
downregulation of Bruton's tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903996	[8, 6, 0, 4, 4, 6, 6, 0]
down-regulation of eating behaviour	http://purl.obolibrary.org/obo/GO_1903999	[8, 6, 2, 4, 3, 4, 0]
regulation of eating behavior	http://purl.obolibrary.org/obo/GO_1903998	[8, 6, 2, 4, 3, 2, 0]
upregulation of ATP:protein-L-tyrosine O-phosphotransferase (non-specific) activity	http://purl.obolibrary.org/obo/GO_1903997	[8, 6, 0, 4, 4, 1, 3, 0]
regulation of p60c-src protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903995	[8, 6, 0, 4, 4, 6, 6, 1]
IgA receptor activity	http://purl.obolibrary.org/obo/GO_0019766	[0, 7, 8, 6, 0]
glucosinolate catabolic process	http://purl.obolibrary.org/obo/GO_0019762	[7, 4, 1, 5, 3, 0]
glucosinolate anabolism	http://purl.obolibrary.org/obo/GO_0019761	[7, 5, 5, 1, 0]
glucosinolate metabolism	http://purl.obolibrary.org/obo/GO_0019760	[7, 4, 7, 5, 9, 0]
low affinity IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019769	[0, 7, 8, 2, 0]
IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019767	[0, 7, 8, 2, 1]
high affinity Fc receptor activity	http://purl.obolibrary.org/obo/GO_0019768	[0, 7, 8, 5, 0]
FC receptor activity	http://purl.obolibrary.org/obo/GO_0019763	[0, 7, 8, 7]
pyocyanine biosynthetic process	http://purl.obolibrary.org/obo/GO_0106220	[7, 5, 2, 5, 6, 0]
peptidyl-lysine glutarylation	http://purl.obolibrary.org/obo/GO_0106227	[7, 2, 5, 5, 0, 0]
peptidyl-lysine 2-hydroxyisobutyrylation	http://purl.obolibrary.org/obo/GO_0106225	[7, 2, 5, 0, 4, 0]
histone glutaryltransferase activity	http://purl.obolibrary.org/obo/GO_0106229	[1, 0, 0, 0]
alkylhydroperoxide reductase activity	http://purl.obolibrary.org/obo/GO_0102039	[7, 2, 2, 2, 0]
PKC signaling cascade	http://purl.obolibrary.org/obo/GO_0070528	[8, 6, 0, 4, 4, 7, 0]
thrombocyte aggregation	http://purl.obolibrary.org/obo/GO_0070527	[8, 3, 3, 5, 4, 0]
tRNA threonylcarbamoyladenosine metabolic process	http://purl.obolibrary.org/obo/GO_0070525	[6, 7, 8, 7, 0]
negative regulation of juvenile hormone degradation	http://purl.obolibrary.org/obo/GO_0045970	[8, 6, 0, 7, 2, 5, 0]
stimulation of mitotic cell cycle, embryonic	http://purl.obolibrary.org/obo/GO_0045977	[8, 1, 1, 0, 5]
down-regulation of nucleoside metabolic process	http://purl.obolibrary.org/obo/GO_0045978	[8, 6, 0, 4, 8, 0, 2, 0]
upregulation of mRNA translation, ncRNA-mediated	http://purl.obolibrary.org/obo/GO_0045975	[8, 5, 4, 5, 0]
