label	entity_id	search_id
downregulation of Bruton's tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903996	[0, 5, 4, 6, 0, 0]
down-regulation of eating behaviour	http://purl.obolibrary.org/obo/GO_1903999	[0, 4, 5, 1, 6, 0]
regulation of eating behavior	http://purl.obolibrary.org/obo/GO_1903998	[0, 4, 5, 1, 7, 0]
upregulation of ATP:protein-L-tyrosine O-phosphotransferase (non-specific) activity	http://purl.obolibrary.org/obo/GO_1903997	[0, 5, 4, 8, 1, 0]
regulation of p60c-src protein tyrosine kinase activity	http://purl.obolibrary.org/obo/GO_1903995	[2, 4, 9, 3, 0]
IgA receptor activity	http://purl.obolibrary.org/obo/GO_0019766	[0, 0, 4, 0, 0]
glucosinolate catabolic process	http://purl.obolibrary.org/obo/GO_0019762	[2, 1, 8, 4, 1, 0]
glucosinolate anabolism	http://purl.obolibrary.org/obo/GO_0019761	[2, 1, 8, 4, 1, 1]
glucosinolate metabolism	http://purl.obolibrary.org/obo/GO_0019760	[2, 1, 8, 4, 1, 2]
low affinity IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019769	[0, 0, 4, 1, 0]
IgE receptor activity	http://purl.obolibrary.org/obo/GO_0019767	[0, 0, 4, 1, 1]
high affinity Fc receptor activity	http://purl.obolibrary.org/obo/GO_0019768	[0, 0, 4, 2, 0]
FC receptor activity	http://purl.obolibrary.org/obo/GO_0019763	[0, 0, 4, 2, 1]
pyocyanine biosynthetic process	http://purl.obolibrary.org/obo/GO_0106220	[2, 1, 8, 0, 1, 0]
peptidyl-lysine glutarylation	http://purl.obolibrary.org/obo/GO_0106227	[2, 6, 0, 8, 4, 0]
peptidyl-lysine 2-hydroxyisobutyrylation	http://purl.obolibrary.org/obo/GO_0106225	[2, 6, 0, 8, 7, 0]
histone glutaryltransferase activity	http://purl.obolibrary.org/obo/GO_0106229	[6, 7, 2, 0]
alkylhydroperoxide reductase activity	http://purl.obolibrary.org/obo/GO_0102039	[2, 6, 3, 4, 0, 0]
PKC signaling cascade	http://purl.obolibrary.org/obo/GO_0070528	[0, 5, 4, 0, 1]
thrombocyte aggregation	http://purl.obolibrary.org/obo/GO_0070527	[7, 1, 5, 0, 1, 0]
tRNA threonylcarbamoyladenosine metabolic process	http://purl.obolibrary.org/obo/GO_0070525	[8, 3, 7, 4, 2, 0]
negative regulation of juvenile hormone degradation	http://purl.obolibrary.org/obo/GO_0045970	[0, 7, 3, 5, 0]
