label	entity_id	search_id
Abnormality of body height	http://purl.obolibrary.org/obo/HP_0000002	[5, 3, 2, 0]
Multicystic renal dysplasia	http://purl.obolibrary.org/obo/HP_0000003	[3, 7, 7, 0, 8]
Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008	[7, 0, 8, 6, 5, 0]
Functional abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000009	[7, 0, 2, 7, 2, 0]
Urinary tract infections, recurrent	http://purl.obolibrary.org/obo/HP_0000010	[3, 4, 8, 0]
Neurogenic bladder	http://purl.obolibrary.org/obo/HP_0000011	[7, 0, 2, 7, 8]
Urgency frequency syndrome	http://purl.obolibrary.org/obo/HP_0000012	[7, 0, 2, 7, 2, 1]
Rudimentary uterus	http://purl.obolibrary.org/obo/HP_0000013	[7, 0, 8, 8, 4, 0]
Abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000014	[7, 0, 2, 7, 9]
Bladder diverticulum	http://purl.obolibrary.org/obo/HP_0000015	[7, 0, 8, 2, 2, 0]
Urinary retention	http://purl.obolibrary.org/obo/HP_0000016	[7, 0, 2, 7, 7, 0]
Nycturia	http://purl.obolibrary.org/obo/HP_0000017	[7, 0, 2, 7, 1, 0]
Difficulty with flow	http://purl.obolibrary.org/obo/HP_0000019	[7, 0, 2, 7, 6]
Loss of bladder control	http://purl.obolibrary.org/obo/HP_0000020	[7, 0, 2, 0, 7, 0]
Megacystis	http://purl.obolibrary.org/obo/HP_0000021	[7, 0, 8, 2, 4, 0]
Abnormal male internal genitalia morphology	http://purl.obolibrary.org/obo/HP_0000022	[7, 0, 8, 6, 7, 0]
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	[7, 0, 8, 0, 5, 0]
Inflammation of the prostate	http://purl.obolibrary.org/obo/HP_0000024	[7, 0, 8, 1, 4, 0]
Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000025	[7, 0, 7, 0, 6, 0]
Male hypogonadism	http://purl.obolibrary.org/obo/HP_0000026	[7, 0, 7, 0, 4]
Absent sperm in semen	http://purl.obolibrary.org/obo/HP_0000027	[7, 0, 7, 9, 3, 0]
Undescended testis	http://purl.obolibrary.org/obo/HP_0000028	[7, 0, 9, 8, 5, 0]
Testicular degeneration	http://purl.obolibrary.org/obo/HP_0000029	[7, 0, 9, 8, 6, 0]
Testicular gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000030	[7, 0, 9, 1, 2, 0]
Epididymitis	http://purl.obolibrary.org/obo/HP_0000031	[7, 0, 8, 6, 2, 0]
Abnormality of male external genitalia	http://purl.obolibrary.org/obo/HP_0000032	[7, 0, 9, 6, 0, 0]
Ambiguous genitalia in males	http://purl.obolibrary.org/obo/HP_0000033	[7, 0, 9, 6, 0, 1]
Hydrocele testis	http://purl.obolibrary.org/obo/HP_0000034	[7, 0, 9, 8, 2, 0]
Abnormality of the testis	http://purl.obolibrary.org/obo/HP_0000035	[7, 0, 9, 8, 4, 0]
Abnormal penis morphology	http://purl.obolibrary.org/obo/HP_0000036	[7, 0, 9, 7, 3, 3, 0]
Male pseudohermaphroditism	http://purl.obolibrary.org/obo/HP_0000037	[7, 0, 9, 6, 0, 2]
Epispadias	http://purl.obolibrary.org/obo/HP_0000039	[7, 0, 8, 5, 0, 0]
Long penis	http://purl.obolibrary.org/obo/HP_0000040	[7, 0, 9, 7, 3, 3, 1]
Chordee	http://purl.obolibrary.org/obo/HP_0000041	[7, 0, 9, 7, 3, 8, 0]
Absent external genitalia	http://purl.obolibrary.org/obo/HP_0000042	[7, 0, 9, 6, 6, 0]
Hypogonadotropic hypogonadism	http://purl.obolibrary.org/obo/HP_0000044	[7, 0, 7, 0, 5, 0]
Abnormality of the scrotum	http://purl.obolibrary.org/obo/HP_0000045	[7, 0, 9, 2, 1, 3, 0]
Small scrotum	http://purl.obolibrary.org/obo/HP_0000046	[7, 0, 9, 6, 7, 0]
Hypospadias	http://purl.obolibrary.org/obo/HP_0000047	[7, 0, 8, 5, 2, 0]
Cleft of scrotum	http://purl.obolibrary.org/obo/HP_0000048	[7, 0, 9, 2, 1, 4, 0]
Scrotum surrounds penis	http://purl.obolibrary.org/obo/HP_0000049	[7, 0, 9, 2, 1, 8, 0]
Small male external genitalia	http://purl.obolibrary.org/obo/HP_0000050	[7, 0, 9, 6, 7, 1]
Perineal hypospadias	http://purl.obolibrary.org/obo/HP_0000051	[7, 0, 8, 5, 2, 1]
Urethral atresia, male	http://purl.obolibrary.org/obo/HP_0000052	[7, 0, 8, 5, 3, 0]
Macroorchidism	http://purl.obolibrary.org/obo/HP_0000053	[7, 0, 9, 5, 0]
Small penis	http://purl.obolibrary.org/obo/HP_0000054	[7, 0, 9, 7, 4, 0]
Abnormal female external genitalia	http://purl.obolibrary.org/obo/HP_0000055	[7, 0, 9, 6, 1, 0]
Abnormality of the clit	http://purl.obolibrary.org/obo/HP_0000056	[7, 0, 9, 6, 5, 0]
Abnormal labia morphology	http://purl.obolibrary.org/obo/HP_0000058	[7, 0, 9, 0, 4, 0]
Underdeveloped vaginal lips	http://purl.obolibrary.org/obo/HP_0000059	[7, 0, 9, 0, 3, 0]
Hypoplastic clitoris	http://purl.obolibrary.org/obo/HP_0000060	[7, 0, 9, 6, 3, 0]
Ambiguous genitalia due to virilization	http://purl.obolibrary.org/obo/HP_0000061	[7, 0, 9, 6, 1, 1]
Ambiguous external genitalia	http://purl.obolibrary.org/obo/HP_0000062	[7, 0, 9, 6, 4, 0]
Fused inner lips	http://purl.obolibrary.org/obo/HP_0000063	[7, 0, 9, 0, 2, 0]
Underdeveloped inner lips	http://purl.obolibrary.org/obo/HP_0000064	[7, 0, 9, 0, 3, 1]
Enlarged vaginal lips	http://purl.obolibrary.org/obo/HP_0000065	[7, 0, 9, 0, 1, 0]
Hypoplastic labia	http://purl.obolibrary.org/obo/HP_0000066	[7, 0, 9, 0, 3, 2]
Urethral atresia, female	http://purl.obolibrary.org/obo/HP_0000067	[7, 0, 8, 5, 3, 1]
Absent urethral opening	http://purl.obolibrary.org/obo/HP_0000068	[7, 0, 8, 5, 3, 2]
Abnormality of the ureter	http://purl.obolibrary.org/obo/HP_0000069	[7, 4, 1, 3, 6, 0]
Ureterocele	http://purl.obolibrary.org/obo/HP_0000070	[7, 4, 1, 3, 2, 0]
Narrowing of the ureter	http://purl.obolibrary.org/obo/HP_0000071	[7, 4, 1, 3, 5, 0]
Uroureter	http://purl.obolibrary.org/obo/HP_0000072	[7, 4, 1, 3, 3, 0]
Double ureter	http://purl.obolibrary.org/obo/HP_0000073	[7, 4, 1, 3, 7, 0]
Pelviureteric junction obstruction	http://purl.obolibrary.org/obo/HP_0000074	[7, 4, 1, 3, 5, 1]
Extra kidney	http://purl.obolibrary.org/obo/HP_0000075	[7, 0, 5, 1, 8, 0]
Vesicoureteral reflux	http://purl.obolibrary.org/obo/HP_0000076	[7, 4, 1, 3, 0, 0]
Renal anomalies	http://purl.obolibrary.org/obo/HP_0000077	[3, 4, 0, 4, 0]
Genital abnormalities	http://purl.obolibrary.org/obo/HP_0000078	[7, 0, 8, 1, 1, 0]
Urinary tract abnormality	http://purl.obolibrary.org/obo/HP_0000079	[3, 4, 0, 0, 0]
Abnormality of genital physiology	http://purl.obolibrary.org/obo/HP_0000080	[7, 0, 7, 7, 1, 0]
Duplex collecting system	http://purl.obolibrary.org/obo/HP_0000081	[3, 7, 7, 0, 6, 0]
Renal failure in adulthood	http://purl.obolibrary.org/obo/HP_0000083	[3, 4, 2, 0]
Horseshoe kidney	http://purl.obolibrary.org/obo/HP_0000085	[3, 7, 1, 8, 0]
Ectopic kidney	http://purl.obolibrary.org/obo/HP_0000086	[3, 7, 1, 7, 0]
Hypoplastic kidney	http://purl.obolibrary.org/obo/HP_0000089	[3, 7, 3, 0]
juvenile nephronophthisis	http://purl.obolibrary.org/obo/HP_0000090	[3, 7, 7, 4, 1]
Abnormal renal tubule morphology	http://purl.obolibrary.org/obo/HP_0000091	[3, 7, 4, 5, 0]
Tubular atrophy	http://purl.obolibrary.org/obo/HP_0000092	[3, 7, 6, 1, 0]
Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	[3, 0, 7, 0, 0]
Abnormal renal glomerulus morphology	http://purl.obolibrary.org/obo/HP_0000095	[3, 7, 2, 4, 0]
Glomerulosclerosis	http://purl.obolibrary.org/obo/HP_0000096	[3, 7, 2, 2, 0]
Focal and segmental glomerular sclerosis	http://purl.obolibrary.org/obo/HP_0000097	[3, 7, 2, 2, 1]
Increased body height	http://purl.obolibrary.org/obo/HP_0000098	[5, 3, 5, 0]
Glomerulonephritis	http://purl.obolibrary.org/obo/HP_0000099	[3, 4, 6, 4, 0]
Nephrosis	http://purl.obolibrary.org/obo/HP_0000100	[3, 4, 9, 0]
