label	entity_id	search_id
Abnormality of body height	http://purl.obolibrary.org/obo/HP_0000002	[6, 5, 3, 4, 0]
Multicystic renal dysplasia	http://purl.obolibrary.org/obo/HP_0000003	[3, 6, 6, 5, 0, 0]
Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008	[3, 5, 6, 6, 7]
Functional abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000009	[3, 7, 4, 2, 5, 0]
Urinary tract infections, recurrent	http://purl.obolibrary.org/obo/HP_0000010	[3, 8, 5, 3, 0]
Neurogenic bladder	http://purl.obolibrary.org/obo/HP_0000011	[3, 7, 4, 9, 7, 0]
Urgency frequency syndrome	http://purl.obolibrary.org/obo/HP_0000012	[3, 7, 9, 5, 0]
Rudimentary uterus	http://purl.obolibrary.org/obo/HP_0000013	[3, 5, 7, 4, 6, 0]
Abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000014	[3, 7, 4, 4, 0]
Bladder diverticulum	http://purl.obolibrary.org/obo/HP_0000015	[3, 7, 4, 8, 0]
Urinary retention	http://purl.obolibrary.org/obo/HP_0000016	[3, 7, 4, 2, 0]
Nycturia	http://purl.obolibrary.org/obo/HP_0000017	[3, 7, 4, 2, 3, 0]
Difficulty with flow	http://purl.obolibrary.org/obo/HP_0000019	[7, 3, 7, 4, 0]
Loss of bladder control	http://purl.obolibrary.org/obo/HP_0000020	[3, 7, 4, 2, 1, 0]
Megacystis	http://purl.obolibrary.org/obo/HP_0000021	[3, 7, 7, 4, 6, 0]
Abnormal male internal genitalia morphology	http://purl.obolibrary.org/obo/HP_0000022	[3, 5, 6, 1, 0]
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	[3, 7, 0, 0, 0]
Inflammation of the prostate	http://purl.obolibrary.org/obo/HP_0000024	[3, 5, 4, 3, 0]
Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000025	[3, 5, 6, 1, 1]
Male hypogonadism	http://purl.obolibrary.org/obo/HP_0000026	[3, 5, 2, 3, 0]
Absent sperm in semen	http://purl.obolibrary.org/obo/HP_0000027	[3, 5, 8, 4, 0]
Undescended testis	http://purl.obolibrary.org/obo/HP_0000028	[3, 5, 0, 2, 0]
Testicular degeneration	http://purl.obolibrary.org/obo/HP_0000029	[3, 5, 0, 7, 0]
Testicular gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000030	[3, 5, 5, 3, 6, 0]
Epididymitis	http://purl.obolibrary.org/obo/HP_0000031	[3, 5, 0, 0, 4, 0]
Abnormality of male external genitalia	http://purl.obolibrary.org/obo/HP_0000032	[3, 5, 6, 1, 2]
Ambiguous genitalia in males	http://purl.obolibrary.org/obo/HP_0000033	[3, 5, 6, 5, 0]
Hydrocele testis	http://purl.obolibrary.org/obo/HP_0000034	[3, 5, 0, 3, 0]
Abnormality of the testis	http://purl.obolibrary.org/obo/HP_0000035	[3, 5, 0, 7, 1]
Abnormal penis morphology	http://purl.obolibrary.org/obo/HP_0000036	[3, 5, 4, 5, 2]
Male pseudohermaphroditism	http://purl.obolibrary.org/obo/HP_0000037	[3, 5, 6, 3, 0]
Epispadias	http://purl.obolibrary.org/obo/HP_0000039	[1, 8, 7, 7, 7, 0]
Long penis	http://purl.obolibrary.org/obo/HP_0000040	[3, 5, 4, 5, 6, 0]
Chordee	http://purl.obolibrary.org/obo/HP_0000041	[3, 3, 0, 7, 6, 0]
Absent external genitalia	http://purl.obolibrary.org/obo/HP_0000042	[3, 5, 6, 6, 5, 0]
Hypogonadotropic hypogonadism	http://purl.obolibrary.org/obo/HP_0000044	[3, 5, 2, 3, 1]
Abnormality of the scrotum	http://purl.obolibrary.org/obo/HP_0000045	[3, 5, 0, 6, 4]
Small scrotum	http://purl.obolibrary.org/obo/HP_0000046	[3, 5, 0, 5, 0]
Hypospadias	http://purl.obolibrary.org/obo/HP_0000047	[3, 5, 4, 7, 0]
Cleft of scrotum	http://purl.obolibrary.org/obo/HP_0000048	[3, 5, 0, 6, 5, 0]
Scrotum surrounds penis	http://purl.obolibrary.org/obo/HP_0000049	[3, 5, 0, 6, 3]
Small male external genitalia	http://purl.obolibrary.org/obo/HP_0000050	[3, 5, 6, 7, 0]
Perineal hypospadias	http://purl.obolibrary.org/obo/HP_0000051	[3, 5, 4, 7, 1]
Urethral atresia, male	http://purl.obolibrary.org/obo/HP_0000052	[3, 5, 4, 4, 0]
Macroorchidism	http://purl.obolibrary.org/obo/HP_0000053	[3, 5, 0, 2, 1]
Small penis	http://purl.obolibrary.org/obo/HP_0000054	[3, 5, 4, 5, 3, 0]
Abnormal female external genitalia	http://purl.obolibrary.org/obo/HP_0000055	[3, 5, 6, 6, 3, 0]
Abnormality of the clit	http://purl.obolibrary.org/obo/HP_0000056	[1, 2, 4, 1, 3]
Abnormal labia morphology	http://purl.obolibrary.org/obo/HP_0000058	[1, 2, 4, 2, 8, 0]
Underdeveloped vaginal lips	http://purl.obolibrary.org/obo/HP_0000059	[1, 2, 4, 2, 3, 0]
Hypoplastic clitoris	http://purl.obolibrary.org/obo/HP_0000060	[1, 2, 4, 1, 6, 0]
Ambiguous genitalia due to virilization	http://purl.obolibrary.org/obo/HP_0000061	[3, 5, 6, 5, 1]
Ambiguous external genitalia	http://purl.obolibrary.org/obo/HP_0000062	[3, 5, 6, 5, 2]
Fused inner lips	http://purl.obolibrary.org/obo/HP_0000063	[1, 2, 4, 8, 0]
Underdeveloped inner lips	http://purl.obolibrary.org/obo/HP_0000064	[1, 2, 4, 2, 3, 1]
Enlarged vaginal lips	http://purl.obolibrary.org/obo/HP_0000065	[1, 2, 4, 2, 2]
Hypoplastic labia	http://purl.obolibrary.org/obo/HP_0000066	[1, 2, 4, 2, 7]
Urethral atresia, female	http://purl.obolibrary.org/obo/HP_0000067	[3, 5, 4, 4, 1]
Absent urethral opening	http://purl.obolibrary.org/obo/HP_0000068	[3, 5, 4, 4, 2]
Abnormality of the ureter	http://purl.obolibrary.org/obo/HP_0000069	[3, 7, 4, 4, 1]
Ureterocele	http://purl.obolibrary.org/obo/HP_0000070	[3, 7, 4, 7, 4, 0]
Narrowing of the ureter	http://purl.obolibrary.org/obo/HP_0000071	[3, 7, 4, 7, 2]
Uroureter	http://purl.obolibrary.org/obo/HP_0000072	[3, 7, 4, 5, 0, 0]
Double ureter	http://purl.obolibrary.org/obo/HP_0000073	[3, 7, 4, 7, 7, 0]
Pelviureteric junction obstruction	http://purl.obolibrary.org/obo/HP_0000074	[3, 7, 4, 7, 9, 0]
Extra kidney	http://purl.obolibrary.org/obo/HP_0000075	[3, 6, 6, 4, 7, 0]
Vesicoureteral reflux	http://purl.obolibrary.org/obo/HP_0000076	[3, 7, 4, 5, 6]
Renal anomalies	http://purl.obolibrary.org/obo/HP_0000077	[3, 6, 6, 2, 4]
Genital abnormalities	http://purl.obolibrary.org/obo/HP_0000078	[3, 5, 6, 6, 6, 0]
Urinary tract abnormality	http://purl.obolibrary.org/obo/HP_0000079	[3, 7, 4, 4, 2]
Abnormality of genital physiology	http://purl.obolibrary.org/obo/HP_0000080	[3, 5, 6, 6, 2]
Duplex collecting system	http://purl.obolibrary.org/obo/HP_0000081	[3, 7, 4, 7, 6, 0]
Renal failure in adulthood	http://purl.obolibrary.org/obo/HP_0000083	[3, 6, 1, 4, 0]
Horseshoe kidney	http://purl.obolibrary.org/obo/HP_0000085	[3, 6, 6, 4, 3]
Ectopic kidney	http://purl.obolibrary.org/obo/HP_0000086	[3, 6, 6, 4, 1, 0]
Hypoplastic kidney	http://purl.obolibrary.org/obo/HP_0000089	[3, 6, 6, 7, 5]
juvenile nephronophthisis	http://purl.obolibrary.org/obo/HP_0000090	[3, 6, 6, 3, 0, 0]
Abnormal renal tubule morphology	http://purl.obolibrary.org/obo/HP_0000091	[3, 6, 6, 8, 0, 0]
Tubular atrophy	http://purl.obolibrary.org/obo/HP_0000092	[3, 6, 6, 8, 4]
Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	[9, 1, 2, 6, 0]
Abnormal renal glomerulus morphology	http://purl.obolibrary.org/obo/HP_0000095	[3, 6, 9, 1, 4, 0]
Glomerulosclerosis	http://purl.obolibrary.org/obo/HP_0000096	[3, 6, 9, 5, 3, 0]
Focal and segmental glomerular sclerosis	http://purl.obolibrary.org/obo/HP_0000097	[3, 6, 9, 5, 7, 0]
Increased body height	http://purl.obolibrary.org/obo/HP_0000098	[6, 5, 3, 4, 1]
