label	entity_id	search_id
Abnormality of body height	http://purl.obolibrary.org/obo/HP_0000002	[3, 7, 5, 0]
Multicystic renal dysplasia	http://purl.obolibrary.org/obo/HP_0000003	[0, 5, 8, 6, 0]
Abnormal morphology of female internal genitalia	http://purl.obolibrary.org/obo/HP_0000008	[0, 6, 2, 0, 0]
Functional abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000009	[0, 1, 5, 6, 1, 0]
Urinary tract infections, recurrent	http://purl.obolibrary.org/obo/HP_0000010	[8, 6, 0, 5, 0]
Neurogenic bladder	http://purl.obolibrary.org/obo/HP_0000011	[0, 1, 5, 7, 5, 0]
Urgency frequency syndrome	http://purl.obolibrary.org/obo/HP_0000012	[0, 1, 4, 7, 7, 0]
Rudimentary uterus	http://purl.obolibrary.org/obo/HP_0000013	[0, 6, 0, 8, 0]
Abnormality of the bladder	http://purl.obolibrary.org/obo/HP_0000014	[0, 1, 5, 6, 1, 1]
Bladder diverticulum	http://purl.obolibrary.org/obo/HP_0000015	[0, 1, 5, 1, 4, 0]
Urinary retention	http://purl.obolibrary.org/obo/HP_0000016	[0, 1, 7, 5, 0]
Nycturia	http://purl.obolibrary.org/obo/HP_0000017	[0, 1, 7, 5, 2, 0]
Difficulty with flow	http://purl.obolibrary.org/obo/HP_0000019	[3, 5, 2, 2, 2, 0]
Loss of bladder control	http://purl.obolibrary.org/obo/HP_0000020	[0, 1, 0, 3, 6, 0]
Megacystis	http://purl.obolibrary.org/obo/HP_0000021	[0, 1, 5, 2, 6, 0]
Abnormal male internal genitalia morphology	http://purl.obolibrary.org/obo/HP_0000022	[0, 6, 2, 5, 0]
Inguinal hernia	http://purl.obolibrary.org/obo/HP_0000023	[0, 1, 6, 1, 7, 0]
Inflammation of the prostate	http://purl.obolibrary.org/obo/HP_0000024	[0, 6, 9, 3, 0]
Functional abnormality of male internal genitalia	http://purl.obolibrary.org/obo/HP_0000025	[0, 6, 2, 5, 1]
Male hypogonadism	http://purl.obolibrary.org/obo/HP_0000026	[0, 6, 8, 6, 5]
Absent sperm in semen	http://purl.obolibrary.org/obo/HP_0000027	[0, 6, 7, 2, 0]
Undescended testis	http://purl.obolibrary.org/obo/HP_0000028	[0, 6, 5, 2, 0]
Testicular degeneration	http://purl.obolibrary.org/obo/HP_0000029	[0, 6, 5, 7, 0]
Testicular gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000030	[0, 6, 4, 2, 0, 0]
Epididymitis	http://purl.obolibrary.org/obo/HP_0000031	[0, 6, 5, 4, 0]
Abnormality of male external genitalia	http://purl.obolibrary.org/obo/HP_0000032	[0, 6, 2, 2, 0]
Ambiguous genitalia in males	http://purl.obolibrary.org/obo/HP_0000033	[0, 6, 8, 4, 6, 0]
Hydrocele testis	http://purl.obolibrary.org/obo/HP_0000034	[0, 0, 6, 9, 0]
Abnormality of the testis	http://purl.obolibrary.org/obo/HP_0000035	[0, 6, 5, 8, 0]
Abnormal penis morphology	http://purl.obolibrary.org/obo/HP_0000036	[0, 6, 6, 9, 0]
Male pseudohermaphroditism	http://purl.obolibrary.org/obo/HP_0000037	[0, 6, 8, 3, 0]
Epispadias	http://purl.obolibrary.org/obo/HP_0000039	[9, 4, 1, 6, 5, 0]
Long penis	http://purl.obolibrary.org/obo/HP_0000040	[0, 6, 6, 5, 0]
Chordee	http://purl.obolibrary.org/obo/HP_0000041	[0, 3, 4, 1, 4, 0]
Absent external genitalia	http://purl.obolibrary.org/obo/HP_0000042	[0, 6, 8, 2, 0]
Hypogonadotropic hypogonadism	http://purl.obolibrary.org/obo/HP_0000044	[0, 6, 8, 6, 8, 0]
Abnormality of the scrotum	http://purl.obolibrary.org/obo/HP_0000045	[0, 6, 5, 8, 1]
Small scrotum	http://purl.obolibrary.org/obo/HP_0000046	[0, 6, 5, 9, 0]
Hypospadias	http://purl.obolibrary.org/obo/HP_0000047	[0, 6, 6, 0, 0]
Cleft of scrotum	http://purl.obolibrary.org/obo/HP_0000048	[0, 6, 5, 5, 0]
Scrotum surrounds penis	http://purl.obolibrary.org/obo/HP_0000049	[0, 6, 5, 3, 0]
Small male external genitalia	http://purl.obolibrary.org/obo/HP_0000050	[0, 6, 8, 2, 1]
Perineal hypospadias	http://purl.obolibrary.org/obo/HP_0000051	[0, 6, 6, 0, 1]
Urethral atresia, male	http://purl.obolibrary.org/obo/HP_0000052	[0, 1, 5, 1, 8, 0]
Macroorchidism	http://purl.obolibrary.org/obo/HP_0000053	[0, 6, 5, 2, 1]
Small penis	http://purl.obolibrary.org/obo/HP_0000054	[0, 6, 6, 3, 0]
Abnormal female external genitalia	http://purl.obolibrary.org/obo/HP_0000055	[0, 6, 2, 0, 1]
Abnormality of the clit	http://purl.obolibrary.org/obo/HP_0000056	[9, 6, 2, 1, 0]
Abnormal labia morphology	http://purl.obolibrary.org/obo/HP_0000058	[9, 5, 5, 1, 0, 0]
Underdeveloped vaginal lips	http://purl.obolibrary.org/obo/HP_0000059	[9, 5, 5, 1, 7, 0]
Hypoplastic clitoris	http://purl.obolibrary.org/obo/HP_0000060	[9, 5, 5, 8, 0]
Ambiguous genitalia due to virilization	http://purl.obolibrary.org/obo/HP_0000061	[0, 6, 8, 4, 5, 0]
Ambiguous external genitalia	http://purl.obolibrary.org/obo/HP_0000062	[0, 6, 8, 4, 6, 1]
Fused inner lips	http://purl.obolibrary.org/obo/HP_0000063	[9, 5, 5, 7, 3, 0]
Underdeveloped inner lips	http://purl.obolibrary.org/obo/HP_0000064	[9, 5, 5, 1, 7, 1]
Enlarged vaginal lips	http://purl.obolibrary.org/obo/HP_0000065	[9, 5, 5, 1, 4]
Hypoplastic labia	http://purl.obolibrary.org/obo/HP_0000066	[9, 5, 5, 1, 3]
Urethral atresia, female	http://purl.obolibrary.org/obo/HP_0000067	[0, 1, 5, 1, 8, 1]
Absent urethral opening	http://purl.obolibrary.org/obo/HP_0000068	[0, 1, 5, 1, 8, 2]
Abnormality of the ureter	http://purl.obolibrary.org/obo/HP_0000069	[0, 1, 5, 6, 4, 0]
Ureterocele	http://purl.obolibrary.org/obo/HP_0000070	[0, 1, 5, 0, 6, 0]
Narrowing of the ureter	http://purl.obolibrary.org/obo/HP_0000071	[0, 1, 5, 0, 2]
Uroureter	http://purl.obolibrary.org/obo/HP_0000072	[0, 5, 4, 6, 0]
Double ureter	http://purl.obolibrary.org/obo/HP_0000073	[0, 1, 5, 3, 5, 0]
Pelviureteric junction obstruction	http://purl.obolibrary.org/obo/HP_0000074	[0, 1, 5, 0, 1, 0]
Extra kidney	http://purl.obolibrary.org/obo/HP_0000075	[0, 5, 2, 2, 0]
Vesicoureteral reflux	http://purl.obolibrary.org/obo/HP_0000076	[0, 5, 4, 6, 1]
Renal anomalies	http://purl.obolibrary.org/obo/HP_0000077	[0, 5, 2, 0, 0]
Genital abnormalities	http://purl.obolibrary.org/obo/HP_0000078	[0, 6, 2, 7, 0]
Urinary tract abnormality	http://purl.obolibrary.org/obo/HP_0000079	[0, 1, 5, 6, 0, 0]
Abnormality of genital physiology	http://purl.obolibrary.org/obo/HP_0000080	[0, 6, 2, 3, 0]
Duplex collecting system	http://purl.obolibrary.org/obo/HP_0000081	[0, 1, 5, 3, 3, 0]
Renal failure in adulthood	http://purl.obolibrary.org/obo/HP_0000083	[0, 1, 3, 3, 4]
Horseshoe kidney	http://purl.obolibrary.org/obo/HP_0000085	[0, 5, 2, 1, 0]
Ectopic kidney	http://purl.obolibrary.org/obo/HP_0000086	[0, 5, 2, 2, 1]
Hypoplastic kidney	http://purl.obolibrary.org/obo/HP_0000089	[0, 5, 2, 3, 0]
juvenile nephronophthisis	http://purl.obolibrary.org/obo/HP_0000090	[0, 5, 1, 9, 0]
Abnormal renal tubule morphology	http://purl.obolibrary.org/obo/HP_0000091	[0, 5, 2, 5, 0]
Tubular atrophy	http://purl.obolibrary.org/obo/HP_0000092	[0, 5, 2, 6, 0]
Proteinuria	http://purl.obolibrary.org/obo/HP_0000093	[0, 5, 1, 3, 0]
Abnormal renal glomerulus morphology	http://purl.obolibrary.org/obo/HP_0000095	[0, 5, 9, 7, 1, 0]
Glomerulosclerosis	http://purl.obolibrary.org/obo/HP_0000096	[0, 5, 9, 7, 4, 0]
Focal and segmental glomerular sclerosis	http://purl.obolibrary.org/obo/HP_0000097	[0, 5, 9, 7, 5, 0]
Increased body height	http://purl.obolibrary.org/obo/HP_0000098	[3, 7, 5, 1]
Glomerulonephritis	http://purl.obolibrary.org/obo/HP_0000099	[0, 5, 1, 4, 0]
Nephrosis	http://purl.obolibrary.org/obo/HP_0000100	[0, 5, 1, 4, 1]
Increased urine output	http://purl.obolibrary.org/obo/HP_0000103	[0, 1, 7, 5, 6, 0]
Missing kidney	http://purl.obolibrary.org/obo/HP_0000104	[0, 5, 2, 3, 1]
Nephromegaly	http://purl.obolibrary.org/obo/HP_0000105	[0, 5, 1, 4, 2]
Cystic kidney disease	http://purl.obolibrary.org/obo/HP_0000107	[0, 5, 8, 3, 0]
Renal corticomedullary cystic disease	http://purl.obolibrary.org/obo/HP_0000108	[0, 5, 8, 6, 1]
Renal adysplasia	http://purl.obolibrary.org/obo/HP_0000110	[0, 5, 2, 4, 0]
Renal juxtaglomerular cell hypertrophy/hyperplasia	http://purl.obolibrary.org/obo/HP_0000111	[0, 5, 8, 5, 0]
Kidney disease	http://purl.obolibrary.org/obo/HP_0000112	[0, 5, 1, 4, 3]
Polycystic kidney dysplasia	http://purl.obolibrary.org/obo/HP_0000113	[0, 1, 2, 9, 3, 0]
Selective proximal tubular damage	http://purl.obolibrary.org/obo/HP_0000114	[0, 5, 2, 6, 1]
Tubular phosphate reabsorption low	http://purl.obolibrary.org/obo/HP_0000117	[5, 6, 1, 6, 0]
Abnormality of the GU system	http://purl.obolibrary.org/obo/HP_0000119	[0, 1, 5, 6, 5]
Increased calcium level in kidney	http://purl.obolibrary.org/obo/HP_0000121	[5, 6, 1, 3, 0]
Single kidney	http://purl.obolibrary.org/obo/HP_0000122	[0, 5, 2, 3, 2]
Nephritis	http://purl.obolibrary.org/obo/HP_0000123	[0, 5, 1, 4, 4]
Renal tubular dysfunction	http://purl.obolibrary.org/obo/HP_0000124	[0, 5, 2, 5, 1]
Pelvic kidney	http://purl.obolibrary.org/obo/HP_0000125	[0, 5, 8, 1, 0]
Hydronephrosis	http://purl.obolibrary.org/obo/HP_0000126	[0, 5, 1, 4, 5]
Salt wasting	http://purl.obolibrary.org/obo/HP_0000127	[5, 6, 0, 3, 0]
Renal potassium wasting	http://purl.obolibrary.org/obo/HP_0000128	[5, 6, 7, 3, 0]
Uterine abnormalities	http://purl.obolibrary.org/obo/HP_0000130	[0, 6, 0, 6, 0]
Uterine leiomyoma	http://purl.obolibrary.org/obo/HP_0000131	[0, 6, 1, 3, 0]
Menorrhagia	http://purl.obolibrary.org/obo/HP_0000132	[0, 4, 3, 4, 0]
Mixed gonadal dysgenesis	http://purl.obolibrary.org/obo/HP_0000133	[0, 6, 8, 4, 0]
Female hypogonadism	http://purl.obolibrary.org/obo/HP_0000134	[0, 6, 8, 6, 6, 0]
Hypogonadism	http://purl.obolibrary.org/obo/HP_0000135	[0, 6, 8, 6, 6, 1]
Bifid uterus	http://purl.obolibrary.org/obo/HP_0000136	[0, 6, 0, 0, 0]
Abnormality of the ovaries	http://purl.obolibrary.org/obo/HP_0000137	[0, 6, 2, 6, 0]
Ovarian cyst	http://purl.obolibrary.org/obo/HP_0000138	[0, 6, 4, 8, 0]
Sagging uterus	http://purl.obolibrary.org/obo/HP_0000139	[0, 6, 0, 0, 1]
Menstrual abnormalities	http://purl.obolibrary.org/obo/HP_0000140	[0, 4, 3, 0, 0]
Abnormal absence of menstruation	http://purl.obolibrary.org/obo/HP_0000141	[0, 4, 3, 0, 1]
Vaginal malformation	http://purl.obolibrary.org/obo/HP_0000142	[0, 6, 0, 3, 0]
Abnormal connection between rectum and vagina	http://purl.obolibrary.org/obo/HP_0000143	[0, 1, 0, 7, 0]
Abnormal fertility	http://purl.obolibrary.org/obo/HP_0000144	[0, 6, 8, 0, 0]
Transverse vaginal septum	http://purl.obolibrary.org/obo/HP_0000145	[0, 6, 0, 1, 0]
Sclerocystic ovaries	http://purl.obolibrary.org/obo/HP_0000147	[0, 6, 4, 5, 0]
Abnormally closed or absent vagina	http://purl.obolibrary.org/obo/HP_0000148	[0, 6, 0, 3, 1]
Ovarian gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000149	[0, 6, 4, 2, 7]
Gonadoblastoma	http://purl.obolibrary.org/obo/HP_0000150	[0, 6, 4, 2, 3]
Aplasia of the uterus	http://purl.obolibrary.org/obo/HP_0000151	[0, 6, 0, 8, 1]
Abnormality of head or neck	http://purl.obolibrary.org/obo/HP_0000152	[1, 6, 1, 4, 0]
Abnormal mouth	http://purl.obolibrary.org/obo/HP_0000153	[9, 5, 3, 4, 3, 0]
Large mouth	http://purl.obolibrary.org/obo/HP_0000154	[9, 5, 0, 8, 0]
Mouth ulcer	http://purl.obolibrary.org/obo/HP_0000155	[9, 2, 7, 9, 5, 0]
Glossal abnormality	http://purl.obolibrary.org/obo/HP_0000157	[9, 5, 0, 4, 0]
